/usr/bin/ld.gold
    Finished `release` profile [optimized] target(s) in 2.37s
Persistent signature found in 'hfuzz_target/x86_64-unknown-linux-gnu/release/token-swap-instructions'. Enabling persistent fuzzing mode
Start time:'2026-08-18.07.06.47' bin:'hfuzz_target/x86_64-unknown-linux-gnu/release/token-swap-instructions', input:'hfuzz_workspace/token-swap-instructions/input', output:'hfuzz_workspace/token-swap-instructions/input', persistent:true, stdin:false, mutation_rate:5, timeout:1, max_runs:0, threads:4, minimize:false, git_commit:380cf14962c64e3fa902d9442b6c6513869116ed
[2J[500B[2026-08-18T07:06:47-0700][W][26072] sanitizers_AddFlag():67 The 'ASAN_OPTIONS' envar is already set. Not overriding it!
Entering phase 1/3: Dry Run
Launched new fuzzing thread, no. #0
Launched new fuzzing thread, no. #3
Launched new fuzzing thread, no. #2
Launched new fuzzing thread, no. #1
Persistent mode: Launched new persistent pid=26123
Persistent mode: Launched new persistent pid=26125
Persistent mode: Launched new persistent pid=26122
Persistent mode: Launched new persistent pid=26124
Sz:16 Tm:1,193us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/390
Sz:16 Tm:7,800us (i/b/h/e/p/c) New:0/0/0/0/0/8, Cur:0/0/0/0/0/372
Sz:32 Tm:3,827us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/536
Sz:32 Tm:8,698us (i/b/h/e/p/c) New:0/0/0/2/0/0, Cur:0/0/0/2/0/338
Sz:64 Tm:1,709us (i/b/h/e/p/c) New:0/0/0/12/2/144, Cur:0/0/0/12/0/575
Sz:38 Tm:1,415us (i/b/h/e/p/c) New:0/0/0/0/0/18, Cur:0/0/0/0/0/461
Sz:75 Tm:1,873us (i/b/h/e/p/c) New:0/0/0/0/0/35, Cur:0/0/0/0/0/592
Sz:8 Tm:1,024us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/367
Sz:64 Tm:5,024us (i/b/h/e/p/c) New:0/0/0/1/0/12, Cur:0/0/0/13/0/1053
Sz:16 Tm:2,662us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/351
Sz:81 Tm:3,814us (i/b/h/e/p/c) New:0/0/0/0/0/52, Cur:0/0/0/0/0/1043
Sz:32 Tm:2,479us (i/b/h/e/p/c) New:0/0/0/0/0/6, Cur:0/0/0/0/0/481
Sz:39 Tm:1,574us (i/b/h/e/p/c) New:0/0/0/0/0/5, Cur:0/0/0/10/0/435
Sz:16 Tm:1,347us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/325
Sz:32 Tm:942us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/323
Sz:64 Tm:4,767us (i/b/h/e/p/c) New:0/0/0/4/4/248, Cur:0/0/0/8/0/549
Sz:16 Tm:10,572us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/389
Sz:128 Tm:3,021us (i/b/h/e/p/c) New:0/0/0/3/1/80, Cur:0/0/0/6/0/630
Sz:235 Tm:3,350us (i/b/h/e/p/c) New:0/0/0/0/0/15, Cur:0/0/0/0/0/613
Sz:4 Tm:1,087us (i/b/h/e/p/c) New:0/0/0/0/0/7, Cur:0/0/0/0/0/230
Sz:32 Tm:19,146us (i/b/h/e/p/c) New:0/0/0/0/0/24, Cur:0/0/0/6/0/398
Sz:64 Tm:2,671us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/1/0/346
Sz:32 Tm:7,945us (i/b/h/e/p/c) New:0/0/0/0/0/7, Cur:0/0/0/8/0/711
Sz:87 Tm:1,254us (i/b/h/e/p/c) New:0/0/0/0/0/8, Cur:0/0/0/0/0/314
Sz:8 Tm:1,250us (i/b/h/e/p/c) New:0/0/0/0/0/12, Cur:0/0/0/0/0/122
Sz:16 Tm:1,744us (i/b/h/e/p/c) New:0/0/0/0/0/6, Cur:0/0/0/0/0/136
Sz:64 Tm:2,065us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/537
Sz:32 Tm:1,543us (i/b/h/e/p/c) New:0/0/0/0/0/26, Cur:0/0/0/0/0/235
Sz:124 Tm:16,342us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/393
Sz:64 Tm:2,036us (i/b/h/e/p/c) New:0/0/0/0/0/3, Cur:0/0/0/10/0/292
Sz:86 Tm:1,971us (i/b/h/e/p/c) New:0/0/0/0/0/3, Cur:0/0/0/0/0/311
Sz:8 Tm:1,442us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/262
Sz:4 Tm:1,311us (i/b/h/e/p/c) New:0/0/0/0/0/3, Cur:0/0/0/0/0/19
Sz:8 Tm:1,967us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/19
Sz:4 Tm:2,107us (i/b/h/e/p/c) New:0/0/0/0/0/5, Cur:0/0/0/0/0/17
Sz:22 Tm:17,096us (i/b/h/e/p/c) New:0/0/0/0/0/6, Cur:0/0/0/2/0/615
Sz:32 Tm:2,041us (i/b/h/e/p/c) New:0/0/0/0/0/5, Cur:0/0/0/0/0/102
Sz:40 Tm:1,731us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/0/0/102
Sz:128 Tm:7,774us (i/b/h/e/p/c) New:0/0/0/0/0/19, Cur:0/0/0/9/0/897
Sz:32 Tm:4,723us (i/b/h/e/p/c) New:0/0/0/0/0/43, Cur:0/0/0/1/0/216
Sz:64 Tm:2,307us (i/b/h/e/p/c) New:0/0/0/0/0/9, Cur:0/0/0/0/0/296
Sz:132 Tm:6,300us (i/b/h/e/p/c) New:0/0/0/0/0/12, Cur:0/0/0/0/0/876
Sz:128 Tm:2,050us (i/b/h/e/p/c) New:0/0/0/0/0/5, Cur:0/0/0/13/0/450
Sz:16 Tm:10,243us (i/b/h/e/p/c) New:0/0/0/0/0/14, Cur:0/0/0/0/0/570
Sz:16 Tm:1,624us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/363
Sz:216 Tm:2,294us (i/b/h/e/p/c) New:0/0/0/0/0/37, Cur:0/0/0/7/0/739
Sz:32 Tm:2,608us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/675
Sz:32 Tm:2,978us (i/b/h/e/p/c) New:0/0/0/1/0/0, Cur:0/0/0/7/0/375
Sz:8 Tm:1,958us (i/b/h/e/p/c) New:0/0/0/0/0/3, Cur:0/0/0/0/0/109
Sz:64 Tm:2,261us (i/b/h/e/p/c) New:0/0/0/0/0/3, Cur:0/0/0/0/0/382
