/usr/bin/ld.gold
warning: the gold linker is deprecated and has known bugs with Rust
  |
  = help: consider using LLD or ld from GNU binutils instead

warning: `wavebreak-math-fuzz` (bin "wb_math") generated 1 warning
    Finished `release` profile [optimized] target(s) in 0.16s
Persistent signature found in 'hfuzz_target/x86_64-unknown-linux-gnu/release/wb_math'. Enabling persistent fuzzing mode
Start time:'2026-08-18.11.41.23' bin:'hfuzz_target/x86_64-unknown-linux-gnu/release/wb_math', input:'hfuzz_workspace/wb_math/input', output:'hfuzz_workspace/wb_math/input', persistent:true, stdin:false, mutation_rate:5, timeout:2, max_runs:0, threads:4, minimize:false, git_commit:380cf14962c64e3fa902d9442b6c6513869116ed
[2J[500B[2026-08-18T11:41:23-0700][W][19302] sanitizers_AddFlag():67 The 'ASAN_OPTIONS' envar is already set. Not overriding it!
Entering phase 1/3: Dry Run
Launched new fuzzing thread, no. #0
Launched new fuzzing thread, no. #1
Launched new fuzzing thread, no. #2
Launched new fuzzing thread, no. #3
Persistent mode: Launched new persistent pid=19353
Persistent mode: Launched new persistent pid=19351
Sz:128 Tm:27us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/34
Sz:131 Tm:23us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/34
Sz:61 Tm:2,494us (i/b/h/e/p/c) New:0/0/0/1/0/5, Cur:0/0/0/1/0/717
Sz:32 Tm:224us (i/b/h/e/p/c) New:0/0/0/1/0/0, Cur:0/0/0/2/0/19
Sz:64 Tm:59us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/21
Sz:111 Tm:74us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/21
Sz:32 Tm:33us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/48
Sz:82 Tm:61us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/0/0/82
Sz:8 Tm:36us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/48
Sz:16 Tm:52us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/48
Sz:32 Tm:37us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/0/0/32
Sz:64 Tm:32us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/30
Sz:82 Tm:243us (i/b/h/e/p/c) New:0/0/0/0/0/5, Cur:0/0/0/0/0/67
Sz:64 Tm:38us (i/b/h/e/p/c) New:0/0/0/0/0/6, Cur:0/0/0/0/0/34
Sz:127 Tm:47us (i/b/h/e/p/c) New:0/0/0/0/0/8, Cur:0/0/0/2/0/80
Sz:4 Tm:47us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/48
Sz:62 Tm:30us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/30
Sz:16 Tm:24us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/0/0/28
Sz:128 Tm:53us (i/b/h/e/p/c) New:0/0/0/0/0/11, Cur:0/0/0/1/0/163
Sz:138 Tm:74us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/31
Sz:113 Tm:34us (i/b/h/e/p/c) New:0/0/0/1/0/0, Cur:0/0/0/5/0/29
Sz:4 Tm:64us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/32
Sz:64 Tm:29us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/30
Sz:107 Tm:48us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/3/0/20
Sz:8 Tm:42us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/22
Sz:91 Tm:23us (i/b/h/e/p/c) New:0/0/0/1/0/3, Cur:0/0/0/1/0/12
Sz:127 Tm:86us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/7/0/71
Sz:78 Tm:21us (i/b/h/e/p/c) New:0/0/0/1/0/1, Cur:0/0/0/2/0/27
Sz:124 Tm:66us (i/b/h/e/p/c) New:0/0/0/0/0/7, Cur:0/0/0/1/0/502
Sz:99 Tm:9,174us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/11
Sz:64 Tm:26us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/33
Sz:8 Tm:32us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/10
Sz:60 Tm:717us (i/b/h/e/p/c) New:0/0/0/0/0/3, Cur:0/0/0/1/0/29
Sz:8 Tm:307us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/12
